Soil_Type,Crop_Type,Rainfall_mm,Temperature_C,Soil_pH,Fertilizer_kg_per_ha,Pesticide_kg_per_ha,Sunlight_Hours_per_day,Farm_Size_ha,Irrigation,Crop_Yield_tonnes_per_ha
Peaty,Wheat,1028.4,27.8,6.71,90.7,5.39,7.2,4.31,Yes,8.16
Sandy,Cotton,1118.8,28.5,5.11,168.5,5.18,10.5,4.21,No,5.74
Sandy,Soybean,885.5,21.5,5.11,55.3,3.14,8.4,13.2,Yes,7.02
Silty,Rice,539.1,23.5,6.72,208.4,3.41,7.2,,,8.44
Silty,Wheat,668.8,24.4,7.05,167.2,5.37,5.8,0.55,No,7.76
Silty,Barley,818.8,20.3,7.45,161.1,,8.6,3.99,No,8.19
Clay,Rice,1492.8,36.9,5.24,122.5,5.08,,4.69,No,7.49
Sandy,Barley,1269.9,22.4,6.73,76.6,6.17,9.7,9.24,Yes,8.19
Sandy,Rice,979.6,25.3,7.43,100.4,5.0,6.7,3.27,Yes,9.24
Peaty,Wheat,944.5,16.9,6.67,66.3,,8.6,0.9,Yes,8.11
Loamy,Wheat,975.8,21.7,5.69,189.5,0.17,7.0,8.68,No,8.26
Silty,Soybean,805.9,29.5,6.48,182.2,5.09,4.9,2.11,Yes,7.8
Silty,,703.2,23.1,6.15,132.9,3.89,8.3,3.87,Yes,9.74
Loamy,Barley,1120.0,26.9,6.05,148.9,5.72,10.0,3.97,No,8.28
Clay,Barley,734.9,20.3,6.83,179.4,4.28,8.5,3.33,No,7.54
Peaty,Wheat,755.6,22.5,6.22,0.0,0.05,9.7,6.91,Yes,7.73
Sandy,Barley,,28.9,5.89,128.8,7.57,9.2,5.71,Yes,7.6
Silty,Soybean,1248.3,26.8,6.14,,4.52,8.6,0.63,No,7.77
Sandy,Barley,909.5,28.0,6.3,138.4,6.39,8.4,1.69,No,7.22
Silty,Cotton,837.3,26.0,7.36,113.5,7.63,7.4,7.34,No,6.3
Clay,Wheat,,18.0,6.72,213.6,3.8,8.5,2.41,No,8.0
Silty,Soybean,1268.2,26.7,7.08,,8.16,7.6,5.19,No,7.61
Sandy,Rice,789.1,30.6,7.19,104.5,6.37,6.2,2.69,Yes,8.03
Silty,Cotton,824.5,,5.11,256.3,3.91,9.5,6.23,No,6.8
Silty,Wheat,798.3,24.8,6.29,97.5,2.02,6.3,13.73,No,8.1
Peaty,Rice,760.2,22.4,6.39,152.3,8.96,,6.13,Yes,10.32
Peaty,Cotton,779.7,30.2,4.99,96.7,5.67,,,Yes,6.66
Peaty,Soybean,631.9,25.1,7.68,178.3,2.68,5.9,5.01,Yes,7.25
Clay,Rice,784.9,23.2,5.03,156.4,5.98,8.8,,Yes,9.36
Loamy,Maize,1005.1,22.0,6.05,139.5,5.8,7.7,4.4,Yes,12.98
Clay,Soybean,1082.1,22.5,4.44,185.4,2.88,8.2,9.09,No,6.54
Clay,Wheat,996.7,30.6,6.62,123.2,1.46,4.8,1.94,Yes,7.78
Peaty,Barley,767.1,15.6,6.09,206.9,,5.9,5.77,Yes,8.11
Loamy,Maize,849.6,20.0,6.83,278.1,0.0,6.7,2.72,No,10.41
Clay,Wheat,1233.2,27.5,6.44,208.3,5.51,8.9,2.62,No,8.04
Clay,Rice,789.6,21.5,6.53,251.4,7.24,8.8,3.33,Yes,8.56
,Wheat,841.7,30.1,6.99,177.6,0.0,9.5,3.14,No,7.91
Loamy,Wheat,1001.9,30.4,6.15,113.0,4.84,6.1,7.02,Yes,9.52
Silty,Soybean,572.6,31.8,7.07,223.4,2.35,6.6,2.33,Yes,7.1
Loamy,Barley,944.8,27.5,5.68,261.2,7.99,8.3,9.74,No,7.4
Silty,Maize,966.3,23.5,7.14,,5.26,5.7,2.25,Yes,10.32
Sandy,Cotton,863.2,26.2,7.32,265.9,7.59,6.5,1.79,No,5.8
Peaty,Cotton,828.8,24.1,5.8,80.2,6.84,7.2,2.24,Yes,7.26
Silty,,917.2,23.2,7.11,145.5,4.58,6.8,1.62,Yes,7.7
Peaty,Wheat,1096.7,30.9,6.61,175.9,7.2,8.5,1.55,No,7.91
Loamy,Maize,594.9,18.4,7.74,149.0,3.6,6.2,2.79,No,10.8
Silty,Maize,969.0,25.6,6.49,55.7,6.82,,5.7,Yes,10.44
Clay,Soybean,351.9,23.4,7.71,144.4,5.55,7.4,,Yes,7.38
Clay,Cotton,1095.4,28.2,5.61,,3.81,6.4,18.33,No,4.96
Clay,Barley,694.9,25.2,7.47,200.3,9.64,7.9,,Yes,8.71
Peaty,Maize,1218.7,23.0,6.63,128.8,3.78,6.9,3.27,No,10.55
Loamy,Wheat,566.9,14.9,6.71,216.5,7.97,5.0,2.7,Yes,7.73
Sandy,Cotton,624.3,22.3,8.42,143.8,3.87,10.3,7.98,Yes,5.45
Peaty,Barley,914.1,18.9,7.27,148.0,0.74,8.9,1.03,No,7.73
Peaty,Cotton,604.5,18.8,7.45,117.4,6.33,,4.36,Yes,6.23
Silty,Wheat,1155.0,30.5,6.1,180.1,4.84,8.6,5.11,No,7.69
,Soybean,553.2,31.5,5.9,165.8,7.0,12.0,2.11,Yes,7.28
Clay,Rice,497.9,21.3,5.27,152.4,3.83,8.6,2.34,Yes,9.22
Silty,Soybean,948.0,22.5,6.04,124.6,4.67,5.6,4.08,Yes,8.07
Peaty,Wheat,870.7,19.6,5.71,120.7,6.21,6.7,0.71,No,8.35
Silty,Maize,1580.1,25.4,6.24,112.4,,8.0,1.26,No,10.04
Loamy,Rice,873.2,22.8,6.41,188.4,6.28,7.7,2.16,Yes,10.29
Silty,Soybean,775.0,22.4,,98.0,7.61,5.5,8.69,No,6.92
Clay,Soybean,567.0,26.2,7.1,106.8,4.81,6.1,12.53,Yes,7.22
Peaty,Wheat,817.4,22.6,6.79,199.9,4.28,7.8,7.19,No,7.56
,Barley,707.8,21.3,5.78,205.3,9.84,8.6,0.51,No,7.18
Sandy,Cotton,1163.6,17.0,7.65,145.9,,5.7,2.12,No,5.3
Peaty,Barley,1276.2,23.4,7.17,308.6,3.86,7.5,0.96,No,7.38
Peaty,Rice,1236.8,23.7,5.81,124.9,4.96,7.2,5.87,Yes,9.9
Sandy,Cotton,1199.4,19.4,5.13,116.6,7.2,4.2,11.4,No,5.3
Silty,Barley,844.4,28.5,6.28,171.1,3.76,,1.41,Yes,8.19
Clay,Maize,1015.6,25.8,6.85,117.4,0.0,6.9,5.23,No,11.05
Clay,Barley,919.8,15.9,6.21,238.2,,6.4,0.84,No,7.05
Clay,Barley,958.3,24.6,6.82,138.3,6.49,7.8,1.07,Yes,7.32
Sandy,Rice,951.4,14.9,5.98,134.7,2.58,6.9,7.24,No,8.02
Clay,Rice,922.9,28.2,5.65,233.5,4.7,9.3,3.08,No,9.12
Clay,,1013.6,24.2,6.37,96.3,1.24,6.1,2.87,No,8.37
Clay,Maize,600.0,37.9,4.64,197.3,,6.7,1.38,Yes,8.54
Clay,Rice,913.5,34.2,6.14,128.2,2.07,6.3,5.32,No,8.0
,Maize,928.7,26.4,7.53,101.3,0.77,7.7,7.38,No,10.08
Loamy,Soybean,1065.0,24.6,6.42,81.3,,6.5,1.9,Yes,8.19
Clay,Maize,915.0,30.6,6.4,,7.82,9.0,0.8,Yes,10.17
Peaty,Cotton,480.0,,6.72,96.6,5.82,6.7,4.21,Yes,7.21
Loamy,Rice,819.1,20.2,6.89,168.4,3.7,6.3,3.5,Yes,10.7
Sandy,Barley,903.0,28.6,6.83,82.4,7.34,4.9,0.66,No,6.49
Loamy,Cotton,1036.8,30.6,6.87,113.6,7.53,7.9,3.0,No,6.58
Sandy,Barley,813.2,19.8,7.29,116.4,3.84,9.4,2.93,No,6.97
Sandy,Maize,877.0,23.0,6.47,0.0,2.1,6.2,2.65,No,8.3
Peaty,Soybean,858.9,24.1,5.75,,6.8,7.4,7.24,No,7.31
Sandy,Rice,1115.7,26.6,5.99,98.2,,7.3,2.03,No,7.86
Peaty,Soybean,616.0,21.8,6.47,222.0,5.74,9.4,3.46,Yes,7.91
Peaty,Cotton,1178.1,23.4,7.04,184.6,5.16,6.0,5.89,Yes,7.15
Sandy,,712.2,29.2,6.84,179.6,7.64,7.9,8.28,Yes,7.72
Silty,Wheat,1153.7,23.6,6.67,131.2,6.45,7.7,1.03,No,8.76
Loamy,Cotton,657.0,28.2,7.62,136.9,5.13,6.7,2.06,No,7.03
Silty,Cotton,1090.6,20.2,6.95,237.0,0.0,10.1,4.01,Yes,7.61
Loamy,Maize,1026.7,24.1,6.47,158.1,5.37,4.2,4.46,Yes,11.93
Silty,Wheat,869.7,25.6,6.6,29.8,1.31,6.6,4.11,No,7.08
Silty,Barley,859.6,27.7,6.7,211.2,7.09,10.2,2.08,No,8.14
Silty,Wheat,732.9,34.4,6.35,166.0,4.44,6.2,0.65,Yes,7.06
Peaty,Cotton,413.4,30.5,6.73,291.9,2.57,8.5,8.46,No,5.41
Clay,Maize,1163.2,28.8,,104.2,5.07,8.8,0.68,Yes,10.02
,Soybean,,,5.55,74.0,2.49,9.0,,Yes,8.51
Clay,Barley,574.4,19.1,6.18,129.1,3.46,6.4,3.93,Yes,8.08
Silty,Barley,897.2,,5.07,229.5,1.05,10.7,3.36,No,7.48
Loamy,,695.9,19.9,7.48,124.6,5.6,7.3,0.39,Yes,8.1
Clay,Cotton,865.2,34.0,4.93,175.2,9.93,9.0,2.89,No,5.75
Sandy,Soybean,873.8,24.7,7.0,154.1,3.18,6.6,10.13,Yes,7.12
Silty,Rice,1200.9,23.8,6.5,211.4,6.24,6.4,3.7,No,9.09
Peaty,Maize,1108.9,19.1,5.43,195.3,0.0,9.2,3.85,Yes,11.04
Peaty,,891.5,20.2,5.79,271.6,5.98,7.4,3.58,Yes,8.71
Clay,Cotton,,31.6,6.64,105.8,8.93,,569.5118424699408,Yes,5.99
Sandy,Wheat,642.5,21.4,6.81,100.6,4.66,7.5,1.23,No,7.22
Clay,Rice,1081.1,25.6,7.01,150.2,6.02,8.0,3.56,Yes,8.87
Silty,Maize,,28.8,5.31,110.3,5.38,6.6,8.31,Yes,10.51
Clay,Maize,1111.6,25.3,5.94,186.5,5.66,6.8,1.02,No,10.85
Sandy,Soybean,1221.1,22.4,7.69,180.4,4.81,8.3,1.5,No,6.6
Peaty,Rice,728.5,22.3,7.07,254.5,9.4,3.5,4.85,No,8.01
Sandy,Cotton,963.1,23.7,6.02,176.3,7.17,9.5,0.5,Yes,6.74
Clay,Barley,1285.2,28.7,6.53,147.9,1.41,11.2,1.43,No,6.69
Clay,Wheat,370.1,19.1,,175.5,8.02,7.4,1.67,Yes,7.33
Silty,Rice,602.7,29.5,6.28,200.1,6.81,7.3,21.97,No,8.56
Clay,Wheat,824.1,23.2,7.29,93.8,8.12,9.7,14.51,Yes,7.57
Loamy,Maize,968.8,16.3,5.12,109.0,9.25,8.6,3.95,Yes,11.26
,Rice,915.6,21.5,7.63,177.8,5.86,7.4,22.38,Yes,9.83
Loamy,Wheat,974.8,21.7,6.79,226.5,2.15,4.8,2.65,No,7.91
Clay,Rice,1166.1,28.6,5.5,713.7114560569444,8.67,9.4,2.53,Yes,9.56
Loamy,Soybean,902.0,27.1,6.91,110.5,4.25,8.4,1.32,Yes,8.28
Clay,Barley,1115.2,19.7,6.2,73.7,4.48,9.6,19.57,Yes,7.84
Loamy,Soybean,946.7,,6.37,156.2,6.27,8.9,6.13,Yes,8.67
Silty,Rice,842.8,16.8,5.76,187.8,0.99,6.2,1.79,Yes,9.3
Loamy,Rice,926.6,23.9,5.71,112.4,3.61,10.5,2.5,No,9.96
Sandy,Barley,882.3,27.7,5.62,137.1,12.2,8.0,2.77,No,7.12
Clay,Maize,399.5,13.6,7.04,239.5,2.2,6.0,18.75,Yes,8.97
Clay,Cotton,910.8,31.7,7.23,232.6,10.86,6.6,2.44,Yes,6.98
Silty,Rice,779.4,28.1,7.73,127.3,6.94,8.5,2.39,Yes,9.14
Silty,Barley,1254.5,17.1,7.0,191.7,,6.8,16.23,No,7.84
Peaty,Soybean,1054.2,29.5,5.36,240.1,1.6,9.4,5.38,No,7.22
Silty,Barley,1036.3,28.6,6.62,116.6,0.31,7.8,2.75,Yes,8.49
Silty,Soybean,,22.0,6.26,67.0,6.24,7.6,5.42,,7.5
Clay,Wheat,1011.2,13.9,7.32,42.9,3.67,6.8,3.73,Yes,7.31
Clay,Cotton,1139.3,24.5,5.71,164.9,4.34,7.7,2.94,No,6.2
Silty,Rice,750.2,24.7,6.56,266.6,12.14,8.1,6.08,Yes,9.57
Peaty,Rice,754.1,31.8,6.68,81.7,5.09,6.2,3.39,Yes,9.32
Sandy,Soybean,1057.7,24.4,7.08,80.1,0.0,6.3,1.85,No,6.34
Sandy,Maize,653.6,23.6,6.77,305.9,2.55,5.2,5.87,Yes,10.34
Clay,Cotton,819.9,25.8,7.27,210.7,6.4,8.1,2.72,Yes,7.34
Sandy,Rice,875.9,29.3,6.6,155.4,8.82,,11.08,Yes,10.05
Silty,Maize,432.4,24.6,,,7.33,7.5,5.78,Yes,8.83
Loamy,,658.2,22.3,5.7,196.1,8.26,7.8,4.98,No,11.22
Peaty,Soybean,1016.4,23.0,6.35,84.4,5.88,9.4,6.05,Yes,8.24
Loamy,Barley,1345.8,27.0,6.88,166.2,3.7,6.1,8.6,No,7.74
Clay,Cotton,679.0,31.4,7.02,135.5,7.47,7.8,6.55,Yes,5.48
Loamy,Soybean,1283.6,27.2,6.23,144.6,1.04,7.4,1.76,No,6.93
Silty,Wheat,964.9,21.7,6.69,162.2,9.02,6.7,,No,8.92
,Maize,1015.5,17.9,7.63,112.6,1.58,6.1,3.56,No,10.33
Sandy,Rice,1032.3,26.9,7.14,,6.51,10.1,2.79,No,8.81
Peaty,Rice,,20.9,7.81,164.0,6.63,5.5,1.89,No,8.37
Clay,Cotton,,22.4,6.08,126.3,4.83,11.0,1.82,Yes,7.47
Clay,Cotton,1100.6,26.7,5.56,235.2,1.87,5.7,2.57,No,5.79
Clay,Cotton,950.1,27.9,6.54,55.3,0.0,6.4,28.82,No,6.19
Clay,Wheat,922.9,21.9,6.33,258.8,1.33,9.4,1.21,No,7.56
Silty,Rice,1383.7,23.6,6.43,68.1,10.66,8.8,0.58,No,9.35
Sandy,Maize,1302.7,12.4,7.64,122.3,8.22,6.2,5.55,Yes,10.18
Clay,Barley,795.2,18.7,5.97,130.5,3.31,,19.43,No,7.32
Silty,Wheat,679.8,21.3,6.31,155.7,3.28,8.2,1.23,No,7.79
Clay,Cotton,617.6,20.3,6.94,66.0,4.59,8.0,7.96,Yes,7.02
Peaty,Maize,960.3,18.0,6.0,193.8,6.56,7.9,2.7,Yes,11.04
Silty,Wheat,1062.5,29.3,6.06,174.1,5.23,6.6,2.29,No,7.93
Sandy,Wheat,734.9,,7.49,136.1,7.6,8.7,3.92,No,6.69
Silty,Rice,1142.7,24.0,6.91,138.5,1.88,3.9,1.28,Yes,10.06
Sandy,Wheat,1140.3,26.7,6.0,168.7,4.46,5.3,1.25,No,7.19
Sandy,Rice,752.7,25.2,4.91,212.5,,7.4,2.13,Yes,8.14
Peaty,Wheat,727.5,23.8,6.94,182.3,4.25,7.5,4.65,No,7.54
Clay,Maize,1700.1,29.1,,249.5,4.54,7.1,8.11,Yes,8.83
Clay,Soybean,847.9,19.9,5.83,190.5,0.73,7.6,10.49,Yes,7.71
Loamy,Rice,753.9,36.8,6.42,146.0,,8.0,14.25,,9.67
Peaty,Rice,811.2,24.9,8.51,89.8,,8.4,1.42,Yes,7.76
Sandy,Wheat,,19.3,4.95,278.1,5.98,5.8,12.38,Yes,7.09
Silty,Wheat,1067.4,25.1,7.67,193.6,10.01,7.4,2.64,Yes,9.14
Silty,Wheat,1011.5,28.2,7.28,222.8,5.07,4.9,2.96,No,7.99
Silty,Maize,927.2,19.6,6.56,126.9,2.92,7.6,1.16,Yes,10.55
Loamy,Barley,870.6,29.1,6.21,228.0,6.31,8.9,2.96,Yes,9.23
Peaty,Wheat,1002.6,,,,8.2,8.9,4.04,No,7.9
Clay,Maize,836.9,28.8,6.82,194.7,,9.6,3.75,Yes,10.33
Sandy,Rice,1197.8,32.2,5.9,63.3,3.06,9.9,1.12,Yes,8.28
Loamy,Barley,755.0,18.4,6.0,38.0,,10.7,7.8,Yes,8.12
Sandy,Cotton,,19.5,7.44,187.2,4.51,9.5,,Yes,6.48
Peaty,Barley,721.3,22.0,6.68,153.2,4.38,7.6,8.0,Yes,8.02
Silty,Maize,926.2,22.8,6.62,145.5,7.18,7.2,,No,9.13
Peaty,Maize,156.7,19.0,6.37,187.4,5.17,8.8,8.18,No,9.26
Silty,Barley,643.5,23.4,6.81,209.3,5.98,8.7,3.81,No,7.58
Silty,Cotton,812.0,26.0,6.0,162.5,4.54,4.7,1.61,No,6.58
Loamy,Barley,964.1,36.0,6.46,141.6,7.83,8.3,1.19,No,7.53
Loamy,Rice,803.0,27.8,6.64,169.4,3.25,6.9,6.82,Yes,10.09
Sandy,Wheat,615.2,25.1,5.66,77.7,9.34,8.9,0.7,No,6.73
Silty,Wheat,903.4,22.0,6.39,288.9,5.33,6.0,31.11,No,7.29
Peaty,Rice,969.5,15.8,6.88,90.4,1.91,9.0,1.13,Yes,8.34
Peaty,Soybean,1596.9,31.6,6.24,86.3,2.67,8.7,3.68,Yes,6.47
Sandy,Soybean,1161.7,26.9,6.43,136.9,5.6,7.8,1.74,No,6.61
Loamy,Rice,727.0,21.8,8.41,120.5,3.37,9.5,2.7,No,8.82
Silty,Cotton,893.7,28.0,6.08,243.7,5.05,,2.46,No,6.63
Sandy,Soybean,872.8,31.4,7.05,79.2,5.35,5.8,,Yes,6.78
Loamy,Wheat,346.6,,7.2,84.1,,6.8,2.79,No,7.54
Silty,Rice,,17.1,4.97,167.1,4.71,7.4,5.35,Yes,9.05
Loamy,Maize,1646.4,,6.53,294.4,6.24,8.0,1.33,No,10.53
Clay,Barley,908.4,25.8,7.18,112.0,6.95,10.5,2.23,No,7.75
Silty,Soybean,261.2,,6.81,293.3,9.46,7.7,3.02,No,6.63
Loamy,Soybean,1007.4,20.5,5.59,109.3,6.79,9.1,3.37,No,8.82
Sandy,Soybean,124.3,29.3,6.41,184.9,10.2,7.9,3.95,No,5.15
Peaty,Barley,1109.9,31.2,6.55,3.7,3.9,8.7,2.52,Yes,6.28
Silty,Rice,,21.7,6.0,185.0,3.14,9.6,8.53,Yes,9.35
Sandy,Wheat,752.9,24.7,6.45,203.1,,9.4,3.45,No,7.53
Clay,Cotton,690.1,16.9,5.89,156.8,1.95,8.7,2.51,No,6.05
,Wheat,1016.6,28.3,6.74,158.2,4.51,11.9,4.37,Yes,8.66
Silty,Soybean,1036.3,25.6,5.38,223.1,5.85,6.6,1.37,No,7.5
Loamy,Soybean,719.5,21.8,6.43,173.7,7.72,6.6,9.78,Yes,9.02
Clay,Maize,,25.5,6.93,260.6,3.29,5.2,2.91,Yes,10.35
Sandy,Soybean,956.8,22.3,6.55,,4.96,6.1,0.48,No,5.75
Silty,Rice,501.8,15.4,7.17,245.6,3.86,7.2,5.3,Yes,9.09
Peaty,Cotton,785.2,24.1,6.56,,5.61,6.5,2.13,Yes,7.46
Sandy,Maize,,12.4,5.22,119.5,2.56,6.9,0.73,Yes,9.53
Clay,Maize,1100.7,29.1,8.28,243.1,7.75,7.8,1.49,Yes,10.09
Sandy,Wheat,1072.4,27.8,6.43,96.5,4.61,7.5,2.05,No,7.61
Sandy,Cotton,807.3,25.6,6.44,43.3,4.79,8.6,4.36,No,5.7
Clay,Maize,827.2,,6.26,114.8,8.15,6.9,1.61,Yes,10.47
Clay,Wheat,1107.9,23.1,6.19,130.1,3.75,8.1,2.34,No,7.16
Loamy,Soybean,665.6,29.7,,112.5,2.9,6.5,2.17,Yes,7.37
Loamy,Soybean,885.5,16.5,7.12,58.2,5.45,7.1,18.33,No,7.36
Clay,Wheat,582.1,20.0,5.67,229.8,4.6,9.1,2.4,No,7.48
Sandy,Rice,733.2,19.5,6.08,93.3,3.55,7.9,7.08,No,8.67
Sandy,Wheat,1211.6,28.4,6.35,205.0,0.0,8.9,3.41,Yes,7.82
Peaty,Maize,755.5,21.9,6.61,189.0,3.43,7.6,6.05,Yes,10.99
Loamy,Maize,960.7,25.5,,206.8,1.79,8.7,32.43,Yes,12.24
Peaty,Barley,819.6,25.4,7.32,163.4,5.02,,3.03,Yes,8.58
Sandy,Maize,859.0,27.7,6.91,162.4,6.95,7.2,0.72,Yes,10.84
Loamy,Wheat,1033.0,24.2,7.87,117.0,5.95,6.7,6.04,Yes,8.52
Peaty,Barley,942.6,22.3,7.81,,5.81,8.1,4.6,No,7.2
Silty,Maize,851.8,18.0,6.66,205.3,4.3,6.6,0.65,Yes,10.79
Clay,Maize,1032.0,32.8,6.02,118.0,2.19,5.9,3.27,Yes,9.75
Loamy,Soybean,1085.5,20.9,7.79,160.9,5.99,5.8,2.22,Yes,8.5
Loamy,Cotton,1149.1,,6.41,198.7,3.15,8.3,8.95,No,8.43
,Soybean,1137.9,20.8,6.63,71.4,7.31,8.4,3.22,No,6.59
Peaty,Barley,1042.5,,6.26,235.0,2.03,5.8,1.67,Yes,7.82
Silty,Wheat,742.6,32.2,5.11,190.7,5.54,7.0,6.32,No,6.83
Silty,Rice,814.8,20.6,7.09,210.5,5.81,9.0,8.52,No,10.38
,Maize,712.1,22.6,6.16,109.4,3.14,6.2,4.14,No,9.48
Peaty,Wheat,958.2,26.0,5.54,61.1,2.77,8.2,14.96,No,7.06
Peaty,Wheat,461.6,29.1,7.92,81.0,7.16,8.3,,Yes,7.58
Sandy,Barley,853.3,22.6,8.21,246.5,6.84,7.9,4.02,Yes,7.41
Silty,Maize,1321.9,22.5,5.93,119.2,2.22,6.0,5.75,Yes,10.59
Clay,Barley,552.3,18.1,6.79,177.8,3.92,4.6,1.22,Yes,8.49
Silty,Cotton,1109.3,25.9,7.28,201.3,7.85,8.1,3.1,No,7.61
Loamy,Rice,665.2,15.9,5.66,164.2,6.78,6.8,0.83,No,9.01
Sandy,Barley,812.3,,6.53,164.5,1.38,8.7,2.99,Yes,8.82
,Cotton,1125.9,33.1,,230.9,4.53,5.9,4.52,No,5.57
Peaty,Wheat,934.2,22.3,7.59,,6.09,5.4,2.02,No,6.46
Loamy,Maize,924.4,,7.17,196.0,2.96,7.1,0.68,No,10.47
Clay,Cotton,862.4,28.7,4.84,146.4,0.96,8.8,2.59,Yes,6.8
Sandy,Maize,1074.0,26.4,7.48,258.2,4.05,9.0,,No,9.5
Peaty,Barley,1023.7,21.5,7.2,116.6,6.53,8.8,5.44,Yes,8.43
Peaty,Rice,1155.5,27.0,5.15,225.1,6.43,7.5,4.03,No,8.31
Sandy,Cotton,719.3,,6.96,211.1,3.57,10.3,0.58,Yes,7.9
Clay,Barley,,19.5,,146.9,5.96,6.4,4.03,No,6.85
Loamy,,1050.8,,5.76,147.8,,7.9,3.65,Yes,9.45
Peaty,Soybean,967.0,19.5,5.86,51.9,,9.0,10.25,No,7.76
Clay,Maize,741.1,20.3,,188.3,1.94,9.0,2.05,Yes,9.47
Loamy,Barley,1007.5,26.2,5.07,108.3,4.13,10.4,2.35,Yes,9.39
Peaty,Wheat,792.6,21.4,8.13,219.2,5.25,7.9,10.91,No,8.19
Loamy,Cotton,718.7,31.6,7.19,191.8,5.3,6.8,7.45,Yes,7.64
Peaty,Wheat,891.0,18.6,5.8,98.0,3.23,7.5,9.73,No,7.96
Peaty,Maize,937.4,27.1,6.3,213.7,5.37,8.2,2.34,Yes,11.01
Sandy,Wheat,848.3,28.4,6.95,169.1,3.78,8.3,3.77,Yes,8.35
Peaty,Maize,1084.7,27.2,5.7,195.0,3.4,9.4,0.3,Yes,11.48
Silty,Rice,952.3,24.6,5.68,176.3,7.64,10.0,6.18,Yes,9.73
Loamy,Soybean,1025.5,16.7,6.48,137.4,0.65,7.5,2.12,No,8.37
Silty,Maize,1299.0,32.1,6.93,234.2,6.12,7.3,5.67,Yes,10.63
Silty,Rice,523.5,22.2,6.57,208.1,1.78,,1.75,,9.67
Loamy,Rice,1256.5,22.8,6.89,126.0,4.74,8.8,1.34,No,10.68
Peaty,Barley,957.4,26.9,6.22,259.1,6.03,8.9,3.69,No,7.68
Loamy,Cotton,1057.5,19.6,6.82,222.9,5.48,7.0,0.58,Yes,8.3
Loamy,Wheat,458.0,27.4,7.7,203.4,,8.7,3.37,Yes,8.11
Clay,Cotton,917.3,20.4,7.85,175.8,6.21,,6.53,Yes,7.82
Sandy,Soybean,1196.4,30.8,6.8,222.9,1.95,7.7,1.43,No,6.34
Sandy,Rice,851.5,28.0,6.27,216.1,4.44,8.2,4.72,No,8.44
Silty,Maize,1588.3,18.3,8.07,161.4,1.92,8.2,5.64,No,8.69
Silty,Cotton,900.4,28.6,4.59,77.7,5.95,7.8,1.12,No,5.46
Peaty,Soybean,911.3,18.7,7.47,184.1,4.08,7.3,0.75,Yes,7.33
Loamy,Barley,1248.3,26.6,6.3,170.5,6.2,6.3,1.23,Yes,9.26
,Wheat,470.1,30.4,6.34,147.9,6.77,9.4,16.53,Yes,8.3
Peaty,Rice,1067.0,21.0,5.18,168.2,3.3,,18.57,No,8.95
Loamy,Maize,1111.3,29.0,6.03,119.8,0.53,9.0,,No,11.0
Loamy,Barley,950.1,16.9,6.47,205.2,5.29,5.9,6.8,No,7.45
Loamy,Wheat,1015.3,20.9,6.52,74.2,1.71,6.5,0.95,Yes,8.59
Loamy,Rice,982.9,23.6,3.94,202.3,5.82,9.3,,No,7.85
Sandy,Wheat,815.9,19.5,6.42,91.8,3.16,6.4,9.58,No,6.61
Sandy,Maize,1182.3,30.3,6.98,282.8,0.22,8.3,2.38,Yes,10.13
Silty,Cotton,635.9,18.0,7.64,196.4,6.27,8.5,,No,6.44
Clay,Cotton,747.0,32.0,5.75,182.0,1.16,6.5,1.13,No,5.24
Peaty,Barley,1121.1,,5.93,177.8,3.41,5.6,4.58,No,7.69
Silty,Soybean,1192.4,8.8,6.57,227.1,6.96,7.6,2.54,Yes,7.08
Loamy,,649.4,24.5,5.71,180.6,7.88,6.7,46.01,No,7.83
Sandy,Barley,1355.6,24.6,7.38,129.0,6.17,4.5,,No,6.5
Silty,Maize,986.3,19.2,6.82,105.2,2.39,7.6,1.8,No,10.8
Peaty,Maize,873.6,27.1,6.81,,5.67,4.5,14.43,No,9.69
Clay,Maize,660.9,,6.61,72.3,3.57,7.1,2.39,No,9.37
Loamy,Wheat,1240.8,17.0,6.27,158.4,9.74,9.2,4.21,Yes,10.36
Clay,Wheat,961.1,22.4,6.99,128.3,11.45,4.0,1.44,Yes,8.39
Loamy,Rice,912.5,20.7,7.64,102.1,2.36,7.1,5.66,Yes,9.7
Silty,Soybean,804.8,26.1,7.55,112.6,2.96,6.6,15.58,No,7.49
Silty,Barley,1041.9,26.3,7.02,,2.29,6.1,11.62,Yes,7.83
Sandy,Soybean,902.2,15.9,6.28,52.6,8.6,7.2,2.67,Yes,6.5
Peaty,Maize,671.7,18.6,5.49,178.8,2.74,6.0,5.73,Yes,11.36
Peaty,Barley,1034.8,,6.67,133.3,9.54,8.3,0.49,Yes,8.93
Sandy,Maize,402.8,21.1,5.76,240.3,4.56,8.2,1.4,Yes,11.31
Sandy,Soybean,910.9,24.3,5.21,195.5,6.85,8.3,5.08,No,6.79
Sandy,,651.8,17.3,6.52,152.8,3.85,9.0,,No,6.87
Silty,Soybean,920.8,33.0,7.03,170.5,0.0,9.9,4.59,Yes,7.19
Loamy,Maize,859.1,22.3,7.01,191.5,0.02,8.7,5.93,No,11.03
Loamy,Barley,679.9,28.6,6.5,80.7,2.19,7.2,,No,7.21
Silty,Maize,987.6,32.3,6.65,225.4,2.28,8.7,7.0,Yes,10.76
Peaty,Barley,915.2,18.7,6.28,110.7,7.77,6.6,4.12,Yes,8.35
